teste;configuracao_vizinhos;arquivo;tamanho_bytes;bloco;peers;tempo_s;mensagens;throughput_Bps
Teste 3 - Validar transferência rápida de poucos blocos;Estática;10KB;10240;1024;2;4.006;23;2556.21
Teste 3 - Validar transferência rápida de poucos blocos;Estática;10KB;10240;1024;4;6.008;67;1704.49
Teste 3 - Validar transferência rápida de poucos blocos;Estática;20KB;20480;1024;2;4.006;43;5112.95
Teste 3 - Validar transferência rápida de poucos blocos;Estática;20KB;20480;1024;4;6.01;127;3407.82
Teste 4 - Validar fragmentação em número razoável de blocos;Estática;1MB;1048576;1024;2;4.005;2051;261792.08
Teste 4 - Validar fragmentação em número razoável de blocos;Estática;1MB;1048576;1024;4;6.009;6151;174514.62
Teste 4 - Validar fragmentação em número razoável de blocos;Estática;5MB;5242880;1024;2;5.007;10243;1047121.12
Teste 4 - Validar fragmentação em número razoável de blocos;Estática;5MB;5242880;1024;4;7.01;30727;747957.5
Teste 5 - Testar estabilidade para grandes transferências;Estática;10MB;10485760;1024;2;6.008;20483;1745361.76
Teste 5 - Testar estabilidade para grandes transferências;Estática;10MB;10485760;1024;4;11.014;61447;952011.63
Teste 1 - Testar o impacto dos peers;Estática;20MB;20971520;1024;2;9.011;40963;2327427.06
Teste 5 - Testar estabilidade para grandes transferências;Estática;20MB;20971520;1024;2;9.011;40963;2327427.06
Teste 1 - Testar o impacto dos peers;Estática;20MB;20971520;1024;4;19.021;122887;1102549.69
Teste 2 - Testar o impacto da fragmentação;Estática;20MB;20971520;1024;4;19.021;122887;1102549.69
Teste 5 - Testar estabilidade para grandes transferências;Estática;20MB;20971520;1024;4;19.021;122887;1102549.69
Teste 3 - Validar transferência rápida de poucos blocos;Estática;10KB;10240;4096;2;4.005;9;2557.12
Teste 3 - Validar transferência rápida de poucos blocos;Estática;10KB;10240;4096;4;6.009;25;1704.11
Teste 3 - Validar transferência rápida de poucos blocos;Estática;20KB;20480;4096;2;4.006;13;5112.73
Teste 3 - Validar transferência rápida de poucos blocos;Estática;20KB;20480;4096;4;5.008;37;4089.19
Teste 4 - Validar fragmentação em número razoável de blocos;Estática;1MB;1048576;4096;2;4.007;515;261717.71
Teste 4 - Validar fragmentação em número razoável de blocos;Estática;1MB;1048576;4096;4;6.016;1543;174292.94
Teste 4 - Validar fragmentação em número razoável de blocos;Estática;5MB;5242880;4096;2;4.008;2563;1308133.4
Teste 4 - Validar fragmentação em número razoável de blocos;Estática;5MB;5242880;4096;4;6.008;7687;872710.21
Teste 5 - Testar estabilidade para grandes transferências;Estática;10MB;10485760;4096;2;5.007;5123;2094406.0
Teste 5 - Testar estabilidade para grandes transferências;Estática;10MB;10485760;4096;4;7.012;15367;1495363.05
Teste 5 - Testar estabilidade para grandes transferências;Estática;20MB;20971520;4096;2;5.007;10243;4188810.4
Teste 2 - Testar o impacto da fragmentação;Estática;20MB;20971520;4096;4;8.01;30727;2618084.77
Teste 5 - Testar estabilidade para grandes transferências;Estática;20MB;20971520;4096;4;8.01;30727;2618084.77
